document_id,main_category,sub_category
01255,nlin,SI
09605,hep-th,
00652,astro-ph,EP
01852,astro-ph,CO
08488,astro-ph,SR
04459,math,FA
01562,math,MG
10189,q-bio,QM
10383,quant-ph,
08139,astro-ph,GA
10299,quant-ph,
01264,astro-ph,GA
05655,cs,IT
08928,cs,SE
07940,math,FA
01368,math-ph,
04563,math,AG
07250,hep-ph,
01787,gr-qc,
06309,stat,ML
05115,physics,geo-ph
10499,math,FA
03104,astro-ph,GA
07281,cond-mat,mes-hall
02244,math,GT
09796,cs,IT
08027,math,CA
09753,cs,SI
06161,cs,SI
08194,math,AC
01800,quant-ph,
08372,cond-mat,mtrl-sci
07645,math,CV
09853,hep-ph,
08096,astro-ph,EP
06636,math,AT
09652,stat,AP
10344,hep-ph,
07727,astro-ph,SR
04454,nucl-th,
08558,cs,CV
01166,cond-mat,soft
03821,quant-ph,
03227,physics,atom-ph
01186,math,NT
02544,physics,app-ph
07644,stat,ML
01813,math,HO
02719,q-fin,MF
02039,math,AP
06226,q-bio,NC
00275,cond-mat,mtrl-sci
02839,physics,comp-ph
08176,quant-ph,
05207,physics,plasm-ph
00970,math,AT
03184,stat,ME
05265,math,OC
03183,cs,CG
04199,cs,RO
01333,nucl-ex,
08514,physics,optics
03885,math,CO
02844,astro-ph,CO
01113,cond-mat,mtrl-sci
05542,quant-ph,
04513,physics,ins-det
06763,math,CO
09092,cs,CV
06155,gr-qc,
00330,astro-ph,HE
03944,hep-ph,
08625,hep-ph,
01598,eess,SP
04560,math,QA
02018,cond-mat,mtrl-sci
08943,astro-ph,HE
04684,physics,plasm-ph
04725,cs,CR
01546,math,PR
09713,cond-mat,str-el
01248,astro-ph,HE
05880,math,NT
01576,astro-ph,HE
07916,math,AC
01940,math,AP
06314,physics,chem-ph
07971,astro-ph,EP
02278,math,LO
02740,physics,hist-ph
09448,cond-mat,quant-gas
01022,cs,IT
02593,quant-ph,
00995,cond-mat,mes-hall
09380,math,GN
00363,hep-ph,
08153,stat,AP
02580,cond-mat,quant-gas
09716,math,OA
05239,astro-ph,SR
02029,cs,CY
04626,math,AG
10120,physics,app-ph
04371,astro-ph,SR
02718,math,AP
04825,q-bio,CB
03360,math-ph,
08248,stat,ME
07135,math,CO
01476,hep-ph,
05085,cs,HC
01026,math,CV
04955,math,RT
00658,physics,ao-ph
08850,cs,DS
03592,math,OC
08331,astro-ph,CO
04347,astro-ph,SR
00816,stat,ME
01967,cs,CV
04833,gr-qc,
07146,gr-qc,
01239,cs,SI
07768,math,AC
10289,physics,optics
06885,cond-mat,str-el
04024,math,GR
04384,cs,IT
09974,hep-ph,
07194,cs,LG
06177,cond-mat,str-el
07227,physics,optics
08359,gr-qc,
01921,cs,CY
02169,cond-mat,mtrl-sci
05983,astro-ph,SR
05032,cs,CL
02133,astro-ph,SR
05318,math,CO
06666,math,NA
09764,math,SP
00043,cs,IT
06209,math-ph,
03012,gr-qc,
06969,nucl-ex,
03136,astro-ph,SR
04062,cs,LG
01117,cs,LG
01408,physics,app-ph
08073,q-bio,OT
04300,gr-qc,
05942,gr-qc,
08555,astro-ph,GA
01435,cs,NI
07370,astro-ph,SR
00461,cond-mat,dis-nn
06240,math,NA
01724,math,CA
01362,q-bio,NC
00081,math,AP
08177,cs,IT
08565,cs,CG
09983,hep-th,
07607,hep-th,
10143,hep-th,
03742,math,ST
02768,cs,MM
10051,math,FA
06522,astro-ph,GA
09640,math,CA
05907,math,DG
10145,hep-ex,
01602,stat,ME
09126,stat,AP
05174,physics,optics
04936,cond-mat,str-el
00916,physics,optics
09973,cs,DS
00408,astro-ph,GA
08475,math,NT
06816,stat,ML
08265,astro-ph,SR
08501,astro-ph,CO
07429,astro-ph,GA
04909,q-bio,QM
04655,cs,NI
09603,math,NA
05088,cs,CL
00147,physics,atom-ph
04471,hep-ph,
04699,physics,comp-ph
08373,gr-qc,
07363,math,CO
09137,quant-ph,
00384,cs,LG
00221,gr-qc,
08087,q-bio,NC
02817,stat,ME
00794,hep-ph,
03914,math,DS
07568,eess,SP
08505,physics,ins-det
06138,astro-ph,CO
06855,nucl-th,
04853,cs,IT
00506,math,PR
09122,math,NA
01620,cs,NE
07173,math,NT
07617,cond-mat,mes-hall
08427,hep-ex,
08952,cond-mat,stat-mech
01151,quant-ph,
09409,cond-mat,mes-hall
05057,quant-ph,
09012,math,DS
04574,physics,hist-ph
05425,astro-ph,CO
07600,math,PR
03726,cond-mat,dis-nn
03271,math,AP
06112,math,AC
09061,cs,AI
04603,cond-mat,mtrl-sci
02082,astro-ph,SR
05912,cs,CV
06951,cond-mat,quant-gas
00758,quant-ph,
04450,math,AG
09915,astro-ph,HE
07814,cs,CR
04980,physics,flu-dyn
08571,astro-ph,SR
09051,astro-ph,SR
05704,quant-ph,
03064,physics,bio-ph
02407,hep-th,
08985,cs,CV
01688,physics,comp-ph
08684,math,CV
09929,astro-ph,HE
02996,math,CO
00099,math,AP
09281,cs,SY
06328,cs,IT
06115,quant-ph,
06556,astro-ph,GA
02516,math,NA
04903,astro-ph,GA
01421,cs,DC
07000,stat,CO
04008,q-bio,QM
04673,math,CO
02245,math,AG
06760,math,CO
09664,cs,NI
04069,cs,HC
06478,quant-ph,
07673,quant-ph,
10457,math,CO
06802,astro-ph,SR
10066,hep-ph,
04704,astro-ph,CO
00234,math,NA
02431,math,DG
10516,econ,EM
08619,math,FA
05444,hep-ph,
09548,math,DG
08729,astro-ph,EP
06554,hep-th,
04201,physics,space-ph
02043,math,RA
08362,astro-ph,CO
10579,stat,ML
03417,cs,DL
04871,cs,AI
01884,cs,CL
04844,math,OA
07493,gr-qc,
01658,cs,SY
07121,cs,GT
07132,cs,CR
07579,cs,MA
02581,cs,CL
00670,math,NA
04594,cond-mat,str-el
02706,cond-mat,soft
07934,physics,atom-ph
06684,math,PR
03369,math,FA
00440,math,NT
05266,physics,gen-ph
04119,cond-mat,str-el
00251,physics,chem-ph
02060,quant-ph,
04934,astro-ph,GA
10326,math,CO
05875,math,NA
05237,quant-ph,
03757,gr-qc,
08763,math,DG
08796,astro-ph,GA
04703,cs,CR
07213,q-fin,GN
01271,math,RA
09691,astro-ph,GA
08159,cs,MA
03950,astro-ph,GA
04696,math,OC
09464,physics,soc-ph
03956,cond-mat,mtrl-sci
05514,math-ph,
02091,q-fin,MF
04678,cs,RO
00594,cs,NI
09754,astro-ph,GA
03333,physics,atm-clus
06820,cond-mat,soft
08113,cs,NE
07578,eess,SP
10225,cs,RO
10348,hep-ph,
09659,math,RT
08838,gr-qc,
03775,physics,gen-ph
10233,cond-mat,stat-mech
02570,physics,plasm-ph
00497,cs,ET
00614,math,GT
09406,astro-ph,SR
01801,math,AG
07746,cs,CL
01978,cs,IT
08960,math,CA
05830,gr-qc,
04956,math,AC
02363,quant-ph,
08617,cond-mat,str-el
10343,cond-mat,mes-hall
00028,math,AG
00558,cond-mat,mtrl-sci
09178,math,DS
06685,cond-mat,mtrl-sci
01337,physics,soc-ph
03326,stat,ML
04443,math,DG
07835,hep-ph,
08666,astro-ph,HE
08026,cs,SI
01605,math,NT
07771,math,RA
01669,stat,AP
03155,astro-ph,GA
00154,physics,hist-ph
10152,cs,NI
00993,cond-mat,soft
02021,cs,CV
07033,cs,IT
04094,math,AT
05999,math,AP
06630,cond-mat,mes-hall
09675,astro-ph,HE
09499,math,NA
03959,math,RT
09210,physics,atom-ph
02481,math,CO
05325,math,GM
09331,cond-mat,mes-hall
01398,quant-ph,
03588,cs,CC
10384,hep-ex,
01959,eess,SP
04921,astro-ph,SR
00085,stat,ML
07833,physics,bio-ph
05769,cond-mat,str-el
06610,cond-mat,stat-mech
05809,hep-ph,
06482,cs,IR
02249,gr-qc,
08799,math,PR
00311,math,HO
05814,astro-ph,EP
04707,math,NA
10608,math,QA
05693,hep-lat,
07922,math,AP
05435,astro-ph,GA
05894,math,HO
00209,cs,LG
04146,math,OC
07614,cs,IT
10142,quant-ph,
05468,nucl-ex,
09327,math,CO
09885,physics,flu-dyn
00476,cs,CV
05908,eess,SP
07376,cond-mat,quant-gas
02699,astro-ph,HE
06372,astro-ph,SR
10431,math,CO
04922,cond-mat,str-el
05819,cond-mat,quant-gas
05979,math,RT
08912,cs,SY
05142,cond-mat,supr-con
07089,cond-mat,mtrl-sci
03801,cond-mat,mes-hall
06197,math,PR
02556,cond-mat,supr-con
06679,cs,IT
04710,gr-qc,
09993,cond-mat,mtrl-sci
08116,cs,AI
00224,cs,CV
01346,math,SP
05515,cond-mat,quant-gas
05863,cs,CR
00080,quant-ph,
02137,eess,SP
02024,physics,ins-det
00890,cs,CV
05549,gr-qc,
06606,q-bio,SC
06438,physics,soc-ph
09617,stat,AP
03915,cs,DC
02253,cs,DM
00215,cs,IR
07183,cs,SY
05084,astro-ph,SR
06971,math,CO
04193,cond-mat,mtrl-sci
07988,cs,SI
04048,cond-mat,mtrl-sci
10466,cond-mat,str-el
06916,math,NT
09990,physics,app-ph
06091,physics,flu-dyn
00374,physics,bio-ph
06773,math,PR
01015,astro-ph,IM
01291,cs,NA
05374,cond-mat,mtrl-sci
07401,cond-mat,supr-con
10107,math,LO
09414,cs,CV
10430,cs,IT
09658,astro-ph,CO
00102,cs,CL
03842,cond-mat,mes-hall
00417,math,FA
08674,physics,comp-ph
01996,cs,NI
05775,math,AT
05205,nucl-ex,
07041,math,CV
00407,gr-qc,
10069,math,AP
07958,gr-qc,
01234,math,CV
10592,math,AP
06792,cs,CL
01431,cond-mat,str-el
06176,cs,CL
08938,cs,NI
07240,physics,plasm-ph
08819,physics,soc-ph
06045,math,FA
02611,math-ph,
03433,math-ph,
05273,nlin,CD
08191,cs,NI
09504,cs,DC
01028,math,AP
08218,cond-mat,soft
07683,stat,ME
00717,cond-mat,mtrl-sci
07532,eess,SP
02919,nucl-th,
10511,physics,plasm-ph
03162,cs,NI
08111,math,RT
04638,math,GR
03810,math,AP
07677,astro-ph,HE
06629,physics,optics
06795,math,AG
02234,cond-mat,str-el
08926,cs,CV
09610,math,AP
00734,cs,CC
02988,math,AP
02063,gr-qc,
01966,gr-qc,
02106,stat,CO
03139,physics,optics
09403,cs,LG
02215,cond-mat,soft
08421,q-bio,GN
06573,physics,ins-det
05149,cs,CL
05162,cond-mat,mes-hall
00809,physics,comp-ph
00507,stat,ML
08907,physics,chem-ph
05175,physics,app-ph
06218,astro-ph,IM
02633,astro-ph,GA
05976,cond-mat,str-el
09254,astro-ph,IM
08586,cs,SI
06784,cond-mat,mes-hall
06748,physics,app-ph
01459,cond-mat,str-el
10411,cond-mat,mtrl-sci
07610,nucl-th,
10441,cs,CV
07977,math-ph,
10552,cs,IT
02270,cs,AI
01908,math,LO
04486,cs,AI
10599,cs,RO
