document_id,email_domain
document_id,email_address
09282,upike.edu
07853,i1.org
07853,gmail.com
07853,microsoft.com
07853,gmail.com
07853,microsoft.com
07853,gmail.com
01101,hioa.no
01101,iu.hio.no
08125,gmail.com
04047,email.com
09051,carnegiescience.edu
04001,docomoinnovations.com
06940,gmail.com
06940,gmail.com
06940,microsoft.com
06940,gmail.com
04045,unicredit.eu
04045,rs.tus.ac.jp
00514,glasgow.ac.uk
07102,ign.fr
07102,ign.fr
01641,acm.org
01641,hq.acm.org
01641,marysville-ohio.com
01641,affiliation.org
01641,researchlabs.org
01641,amesres.org
01641,prl.com
01641,affiliation.org
01641,consortium.net
09545,gmail.com
08562,anl.gov
10024,mail.ru
10024,mail.ru
10024,mail.ru
09726,gmail.com
10134,npl.co.uk
08858,163.com
00711,gmail.com
04101,turktelekom.com.tr
08586,name.center
08586,name.center
08586,name.center
04140,ipm.ir
03857,inf.u-szeged
03857,innorenew.eu
04192,institution.edu
03399,nec-labs.com
03399,nec-labs.com
03399,nec-labs.com
03399,microsoft.com
08474,gmail.com
03034,mpa-garching.mpg.de
04092,lnf.infn.it
04092,gmail.com
07376,gmail.com
05165,163.com
05165,126.com
08380,ulrich-bauer.org
07445,iac.es
00009,gmail.com
04535,ymail.com
08337,gmail.com
07982,impan.pl
07982,gmail.com
07982,gmail.com
06444,gmail.com
00872,unistra.fr
10540,ukr.net
07451,gmail.com
07451,gmail.com
01133,galaxy.far.far.away
01133,stsci.edu
01133,stsci.edu
09649,know.who.knows
07969,gmail.com
09405,inha.edu
08140,h-its.org
00784,inbox.ru
08616,nih.gov
08616,nih.gov
05601,cemes.fr
05601,cemes.fr
06741,river-ele.co.jp
06741,gmail.com
04413,msn.com
09412,pik-potsdam.de
09412,pik-potsdam.de
03099,ras.org.uk
03099,ras.org.uk
06515,gmail.com
08168,gmail.com
01797,gmail.com
08800,163.com
01449,gmail.com
08867,pm.univpm.it
05276,cea.fr
05276,cea.fr
03148,theor.jinr.ru
03148,mail.ru
03148,jinr.ru
01406,yahoo.co.in
10420,hotmail.com
00633,mat.umk.pl
00633,mat.umk.pl
01628,MailAPS.org
01628,MailAPS.org
01628,MailAPS.org
01628,MailAPS.org
01628,MailAPS.org
01628,MailAPS.org
06648,iaa.es
06648,iaa.es
06648,iaa.es
06648,iaa.es
06648,iaa.es
06648,iaa.es
06648,iaa.es
04340,toyota.com
06690,cern.ch
02030,gmail.com
02030,yahoo.com
02030,member.ams.org
03098,gmail.com
01147,teleport.com
01147,aps.org
00627,yahoo.com
00758,sa.infn.it
03498,yandex.ru
03802,asiaa.sinica.edu.tw
06084,nikhef.nl
06084,nikhef.nl
